label,tweet
NEUTRAL,RahulGandhi ji ye video se jada ape nahe sakte
NEUTRAL,bhai RahulSharmaINC likh k de raha hu 320 nda yaad rakhna 23 may tak
NEUTRAL,It should be a cakewalk for Rahul in Amethi yasminsana11 divyaarorafd ahanafatima786 BhavikaKapoor5 MirAliAsgar
NEUTRAL,S
NEGATIVE,Jellianwala Bagh Massacre British Prime Minister Theresa said to smear on British history the opposition said demand a clear apology RahulGandhi narendramodi theresamay
NEUTRAL,CJISC Your attention is drawn to Cong Pres Rahul Gandhis public addresses amp press conferences at various places in the country on 100419 stating SC has said Narender Modi paid Rs 30000 Crores to Anil Ambani amp irregularities took place in Rafael deal This is contemt of SC
NEUTRAL,It is narrated by one who is called pappoo by people
NEUTRAL,imrahulr I think I can rest my case there
POSITIVE,Clever statement at so many levels Must be so confusing for BJP supporters on how to react to this
NEUTRAL,rahulgandhi ne jo aaj jhutha iljam modiji par lgaya ki scourt me chor sidh ho gya Esase badla lene ke liye hind bhai se aagrah hai ki modiji ko vote kare
NEUTRAL,RahulGandhi Zindabad
POSITIVE,In this clip one see calmness of RahulGandhi He is so cool #RahulForBehtarBharat
NEUTRAL,RahulGandhi OfficeOfKNath NakulKNath VTankha sanjaysinghpa20 AjayChourasia20 abhinavhights priyankagandhi pattainc DMarskole76 digvijaya28
NEUTRAL,#AmethiMangeRahul #AmethiKaRahulGandhi For Amethi With Amethi and From Amethi RahulGandhi INCIndia
NEUTRAL,Rahul Gandhi Ji ko education sector pe dhiyan dena chahiye kisano Ke heet me elan achcha hai Des ka VIKASH jaruri hai or ye tab hoga jab hamar education practical roop lega log paise Ki wajah se education chhor dete hai ye bari durbhagya Ki bat hai usme mai bhi samil hu
NEUTRAL,You are absolutely right Choukidar hi chor hai Congress jindabad
NEGATIVE,All people know that which choukidar is chor because chor choukidar is notorious in the world Jai ho Congress jindabad Rahul gandhi jindabad
NEUTRAL,INCIndia ne khub luta 55 year me hindistuan ko but 2019 back to narendramodi ji RahulGandhi
NEGATIVE,Choukidar chor hai Choukidar is cheating people Choukidar can say anything nonsense Jai ho Congress jindabad Rahul gandhi jindabad
POSITIVE,does not seem so the SC will do the needful just dont understand one thing why dont reputed credible journalists ask RahulGandhi amp INCIndia how come a deal of 56000 Cr can generate an offset worth 30000 cr sometimes 1lakh cr are some media promoting idiocy
NEGATIVE,Is bheed me Amethi ka to ek bhi voter nahin yahi log baki Rallion me bhi dekhe gaye the aap ko yaad hoga Ek rally me Sonia fool phenk rahi thee to saath khada bheed se haath hila kar keh raha tha aur zor se shor machao aur yahi 4050 log har jageh saath hi jate hai highlite karne
NEGATIVE,Choukidar chor hai Choukidar is cheating people Congress jindabad Rahul gandhi jindabad
NEUTRAL,Choukidar chor hai Jai ho Congress jindabad Rahul gandhi jindabad
POSITIVE,Yes I agree with you You are absolutely right sir Congress jindabad Rahul gandhi jindabad
NEGATIVE,I dont agree with U that the election is in between narendramodi and RahulGandhi It is in between #Development and #MGB
NEGATIVE,Choukidar hi chor hai Choukidar gang wants to cheat people Jai ho Congress jindabad Rahul gandhi jindabad
NEUTRAL,Kid bail people hai Kya samvaad karogi
NEGATIVE,Choukidar chor hai Choukidar is cheating people Choukidar gang are selfcentered and shameless Jai ho Congress jindabad Rahul gandhi jindabad
POSITIVE,Pappu leave our great PMWe know that in front of him you are nothingI Being a citizen challenge you forget PM modi you first debate with me for 10 mins onlyIf you winIe you are able to answer my questionsWe will take you as our next PM otherwise you forget politics
NEUTRAL,Imran khan aur Modi hi bata sakte haen kya sach hai abhisarsharma bainjal IndiaToday RahulGandhi
NEUTRAL,This is the new beginning Prakash sir just wanted to call out that aimin twitterhandle is aimimnational the other one points to some Chinese handleprofile
NEGATIVE,Sir we just wants you to follow the rules and use your athourity no matter whom it effects your todays decesions we all appericiate action on speech should also be taken abhisarsharma bainjal IndiaToday RahulGandhi
NEUTRAL,What a question RahulGandhi
POSITIVE,Sure i am
POSITIVE,narendramodi Simple but strong INCIndia RahulGandhi baat ko samjhaiye
NEGATIVE,SpokespersonECI ECISVEEP banned biopic on narendramodi and NamoTv then why TataSky group owned by RNTata2000 is still showing It can PMOIndia PMOIndiaLIVE sardesairajdeep ppbajpai INCIndia RahulGandhi ravishndtv ndtv timesofindia TimesNow BJP4India do something
POSITIVE,We already have that with #AyushyamanBharat so keep your false promises with you and your pidis Mr pappu #ModiOnceMore
NEUTRAL,Do you have the answer INCIndia RahulGandhi rssurjewala
POSITIVE,Thanks For CONGRESS PARTY AND RAHULJI
POSITIVE,Please show and share the video coverage of Mayawati Rally asking MUSALMAAN to vote for SPBSP Gathbandhan Do not misguide us by such video See the Video of Kerala visit of Rahul Gandhi with ALI Green Virus if you want to share the Truth BajrangBali remarks is answer to ALI
NEUTRAL,Teen states me jahan congress ki sarkar hai Wahan per petrol Diesel Rs 10ltr kum kar diya jaye to congress ko kafi lok sabha seats milengi Aur rajusv ko nuksan bhi Jyada nahi hoga ek bar gour jaroor Kare Jai congress and Rahul Gandhi G
NEUTRAL,Congress Aala kaman ka Farman Koi bhi congress leader ya karykarta bina Nasha kiye Dafter na aayen Kiuki Hamare Precident Manniye RAHUL GANDHI 24 ghante Nashe me rahte Hain
NEUTRAL,The new spokesperson for Rahul Gandhi
POSITIVE,It is my humble request that please do not nominate Rahul Gandhi as PM for more five year otherwise congress party will end you project old and experienced one most of the people agree with congress but dont agree with Rahul G being Unmatured
POSITIVE,Sala jo khud corruption me bail par ho uske challenge ko sun ke hasi hi ayegi na Khandan Puri bail pe or debate challenge
NEGATIVE,Abe Gadhe tumne Apne fake news Ko Satyahindi kyu bola be SC ne koi faisla nhi Liya h review petition accept Kiya h
NEGATIVE,Todays door to door campaign in Jugijan Block Hojai Assembly for Nagaon Loksabha Election pradyutbordoloi Allavaru RahulGandhi
POSITIVE,Congress Party Zindabad Priyanka Gandhi Zindabad Rahul Gandhi Zindabad Full support Om Sai Choudhary Jodhpur
NEUTRAL,Pyar hamara tumhara abhisarsharma RahulGandhi
NEUTRAL,Rahul Gandhi ji ne MP me aloo se sona banane wali machine Kha rakhi hai bhai paise ki jarurat thodi jada hai is time
NEUTRAL,Reply Mr RahulGandhi
NEUTRAL,RahulGandhi ajaishukla
NEUTRAL,Midi ji se puchho
NEUTRAL,Enki Atm band ho rahyi hi ji modiji hi to mumkin hi ji Jai SRI Ram Jai hind Jai Bharat Jai Main bhi chowkidar
NEUTRAL,Rahul Gandhi FEM sab Chor hai why dont you clarify the source of 281 Crores and whose money is this Come on Butler say something
NEUTRAL,RahulGandhi Congress Zindabat
NEUTRAL,Dhikar hai aise bhai aur bahan par
NEUTRAL,Rahul gandhi jindabad
POSITIVE,#Amethi RahulGandhi INCIndiaLive priyankac19 smritiirani BJPLive sambitswaraj SudhanshuTrived Swamy39 is it seriously true PC maam could you please enlighten us as you are very eager to know edu Qual of former HRD minister Do you even know RGs EduQual
NEGATIVE,Not a single chowkidar has come forward so far to criticize narendramodi and the lovelink between ImranKhanPTI Imagine your twitter walls with tweets from chowkidars if the same statement would have come from Kaptaan for RahulGandhi La hawle was kout UbbaidM
NEUTRAL,Dynasty GeNext Arrived Cong Bhakto BEWARE U ALL WILL BE GHULAMs for life Roti ka tukda fenk dega Gandhi pariwar RahulGandhi INCIndia
NEUTRAL,Could think of this for one second but cant imagine Pappu being our prime minister FOR GODS SAKE RahulGandhi
NEUTRAL,INCIndia IYC captamarinder sunilkjakhar sekhriashwani TRSBajwa sherryontopp INCSandesh RTMediaAdvPbCM RahulGandhi ZeePunjab
POSITIVE,Sahi hi ji sahi kha hiaapni ji logo ko khud samajna chahiyi ji Rahul Gandhi dongi hi mmta tsp sp bsp Aap party sab chorhi dash ko bdnamkrni ka kam krtyi hi ji modiji dash ko garibi mukt Bharat hoga ji Jai SRI Ram Jai hind Jai Bharat vandyimatrm Main bhi chowkidar
NEUTRAL,Where is JMScindia
NEGATIVE,Is this the kind of #NYAY you plan to deliver 1 Snatching food from Kids stomach 2 Exploiting the malnourished kids 3 Stealing money meant for pregnant women and use it for political gains INCIndia RahulGandhi rssurjewala ahmedpatel priyankagandhi #SoniaGandhi
POSITIVE,Recd on WAThis is INCIndia under RahulGandhi See congressmen shouting Narendra Modi Zindabad during canvassingA sure sign of #CongressMuktBharat Mehul8997 drmahendra6 vrnmavinkurve HarshalChaubal
NEUTRAL,Priyankajee aap sub congression se puchhna aur Janna chahta hu ki aap log Rahul Gandhi jsise mund budhi jhuthe aur Nasheri Insan ko jhelti kaise hain Kya Soniyjee aaplogon ko Koi tablet khilati Hain ya Koi Divya sirup ka dose deti Hain
NEUTRAL,Rahul Gandhi Bail Par Maidam Bail Par Bail Par Pura Khandan Chore
NEUTRAL,#indiancorporates amp #mnc given the green signal to #congress #rahulgandhi #nyay nation required a #relief not #headache #hamarachokidarchornikla #modiuncle #RafaleScam #RafaleFilesStolen #hamaribhoolkamalkaphool #DemonetisationScam #gst #lpg #cylinders #fuelpricehike
POSITIVE,Jo Bail Par Hai Choro Se Shaukar Miltey Nhee Hai Gali Gali Me Sore Hai Congress Party Evam Pura Khandan Chore Hai
POSITIVE,A very mature and bold decision of Rahul Gandhi Ji it will be beneficial for the party in near future
NEGATIVE,Mama nahi tho bahgna pm ban hi jayega
POSITIVE,Youths and also oldmen are coming home back from 200 km distance only for Voting and supporting to Modi and for opposing of corrupt Rahul Gandhi
POSITIVE,RahulGandhi sir NamaskarThis day is a auspicious for httpusToday you filling the nomination for Amethi May God bless you
NEUTRAL,Vote to rahul Gandhi ko hi jayega Choro ko vote dekar dekh liya bar bar wahi galati dohrana buri baat Bjp ke mudde saaf hai sirf chunav jeetna aur garibo ka haq marna #RahulForBehtarBharat #ModiNeverAgain #ModiFailed Aaj bjp modi ki halat kuch aisi hai
NEUTRAL,Pappu ji who are you to call Hnble PM for a debate U r just a commoner he doesnt have time for u bro
NEGATIVE,Rahul Gandhi ki achhai sirif ghotale heyDesh ajma chuke heyMofi Ji ne paanch saal mey jitna kaam kia Congress 55 saal me ghotale ke siba kuchh nehin KiaAaj bhi MP mey chal raha hey
NEUTRAL,yadavakhile News18UP drdineshbjp PMOIndia narendramodi INCIndia BJP4India BJP4UP myogiadityanath RahulGandhi Mayawati DrMNPandeyMP ManmohanSingh abpnewshindi ndtvindia
POSITIVE,Nishant Verma is not political analyst but a perfect Sycophant of Rahul Gandhimore than the cottery which remains all the way around the brain less president of Cong party
NEUTRAL,Modi ko vote vahi denge jo achchaa khaa kamaa rahe hain
NEUTRAL,Galtat News kyu phailate sir
NEUTRAL,Besharm RAHUL GANDHI
NEGATIVE,There is no change in members of Tukde Tukde gang as of now You Your Father Mehbooba are the Sardar of this gang Aab toh Imran bhi samaj gaya tum bhi sudhar jao to accha hai
POSITIVE,Is RaGa listening to what sharad pawar is saying i am sure if RaGa is asked his reaction his response will be pm modi has given 30000 cr to anil ambani this is his one answer to all questions
POSITIVE,If you wants your children to away from lie and Robbery pls bycott corrupt Rahul Gandhi
POSITIVE,#Chowkidar Chor Hai Ye #Baat Ab Sure Hai #RafaleDeal narendramodi INCIndia RahulGandhi laluprasadrjd priyankagandhi LambaAlka kanhaiyakumar MamataOfficial SantoshSevadal ashokgehlot51 shaktisinhgohil ShatruganSinha #RafaleDeal
NEUTRAL,News18India narendramodi ZeeNews timesofindia cnni UN UNPeacekeeping PMOIndia rsprasad ravishndtv sardesairajdeep INCIndia RahulGandhi priyankagandhi smritiirani SushmaSwaraj girirajsinghbjp sherryontopp BBCWorld rajnathsingh AJEnglish India should change
NEGATIVE,Imran bhai jinda bad
NEUTRAL,PMOIndia RahulGandhi priyankagandhi priyankac19 yadavakhilesh ArvindKejriwal
NEGATIVE,Rubbish this is to embarrass narendramodi Look at the level of connections RahulGandhi amp INCIndia have with Pakistan Since they are fighting a losing battle Even Gogai have them a boost just before the election Being Son of Congress CMSCofInd SHAME
POSITIVE,INCIndia NYAY scheme will be greatest ANYAY for rest of people of the country It is direct bribe to the voter in the eve of coming #OdishaElections2019 Now country wants #CongressMuktBharat amp #PhirEkBaarModiSarkar amp #ModiOnceMore
NEUTRAL,Hain Agar Rahul Gandhi PM ki race mein nahi hai to 2 seat se chunav kyu lad raha hai
POSITIVE,LOL
NEUTRAL,Arre Bhai sujewala ko sun ki Bhaiarre piche toh kheda bhi h rssurjewala Pawankhera INCIndia kamalnath resignationliar pappu kidhar hRahulGandhi bahot rafale karta helection ke baad Tere pichwade me ghusega
NEGATIVE,Rahul Gandhi The financial viability of NYAY 5 CRORE POOR FAMILIES x 72000PER YEAR 36 LAC crores Narendra Modi Farmers honours 11cr families of5 farmers x5x6000ie30000per year 33 Lacs crores per year Why there is so much noise for viability
NEGATIVE,SC admits stolen docs evidence An imbecile claims this is indictment of narendramodi as guilty By this logic that same out on bail nutjob is thief thousand times over Hope NaMo appoint Swamy39 as Anti Corruption Minister and end the dacoit FAM once for all
NEUTRAL,What about this Mr Abdullah
NEUTRAL,You are not just voting for PM you are voting for Behtar Bhaarat You are voting for the future of India #IsbaarRahul #hyderabadvotesforRahul #RahulGandhi #voteforrahul
NEUTRAL,Ek Hai Ameeron ka Chowkidar Aur Ek hai Gareebon ka Massia #RahulGandhi
POSITIVE,May be he was thinking of a movie promotion of Great Grand Masti narendramodi RahulGandhi divyaarorafd BhavikaKapoor5 ahanafatima786 VCDIYC
NEUTRAL,Look who is talking #hawalaking Bhag jaldi Bhag #DynastyMuktAmethi
NEUTRAL,Gandhi Family Ke Beta Betii Or Jijaa Jii Sab Chor Ajj Ek Sath Gaye Nomination File Karne Pappu Ka Nahi To Pappu Ko To Bahut Khuf He Amati Jane MePura Pajama Fatta Pada He
NEUTRAL,zaidicpi Because he is soninlaw of Ameer Haider Zaidi
NEGATIVE,You are liar #SupremeCourt has not said anything of that sort they have only said docs submitted are original Stop farting now and show the money first
NEGATIVE,Who is peoples Politician know their EGO from one weeks twitter data MamBa MamataOfficial follows 32 no retweets AkYa yadavakhilesh follows 21 no retweets RaGa RahulGandhi follows 201 no retweets NaMo narendramodi follows 2159 retweets with comments a true leader
NEUTRAL,Ek Hai Ameeron ka Chowkidar Aur Ek hai Gareebon ka Massia #RahulGandhi
POSITIVE,Love by force Neither by choice not by chance #DynastyMuktAmethi
NEUTRAL,Ek Hai Ameeron ka Chowkidar Aur Ek hai Gareebon ka Massia #RahulGandhi
NEUTRAL,Maza aa Gaya RahulGandhi
NEGATIVE,RahulGandhi KapilSibal KapilMishraIND mssirsa psahibsingh BJYM a lesson for pappu but this mandbudhi will take a time to understand this as her mother has arranged same fund for him from MP kitty and he is in now cant do anything for himself forget country
NEUTRAL,NYAY ke mandir me khare hokr INCIndia ke neta KapilSibal 1 ghotalebaaj ki payrwi ki jisne #Bihar ke garib kisan Majdoor ke 950 cr gaban kiya kya Yahi RahulGandhi ka Naya NYAY h BJP4India BJP4Bihar AmitShah nityanandraibjp ramkripalmp
POSITIVE,Thank you India for sending in your entries for NYAY Now its your time to vote for the best logo by clicking on the link below INCIndia RahulGandhi priyankagandhi #AbHogaNYAY
POSITIVE,Who will do the inquiry Your father Go lick feet of Rahul Gandhi You are fit for that
NEUTRAL,Par darr tum rahey ho yeh kehtey kehtey
POSITIVE,People want peace and love not hate People want peaceful life and job and income People like truth People hate jumla and lies Choukidar chor hai Choukidar always tell lies Jai ho Congress jindabad Rahul gandhi jindabad
NEUTRAL,Tu poochega sawal tu sawal poochne k liye Sam pitroda sai pooch k aayega bawli pooch
NEUTRAL,Ek Hai Ameeron ka Chowkidar Aur Ek hai Gareebon ka Massia #RahulGandhi
NEUTRAL,Tabhi to tum 230 seat se jyada per contest karne ki himmat nahi juta sake
NEUTRAL,httpsabpnewsabpliveinindianewsloksabhaelectionsrahulgandhitocontestfromtwoseatsamethiupandwayanadkerala1098561amp doo nitywale rahul gandhi doo jagaha se hi namankan kare ga hi kyoki jiska parichay bhi doo hai
NEGATIVE,Ye Congress ke ghotalabaj Kya samjenge demonetization Jo khud alag alag scam se Jude hain
POSITIVE,Original photo is here You can find third hand and his face as well source credit BBCHindi
NEUTRAL,TheSajalSingh anaaika1 ShwetaM78500400 shilpamishra Amritapandey1 ChaudharyV216 NationalistRSS upadhyayricha PansariNeha VandanaJayrajan swetasamadhiya Sarita25148177 Himanshiii shefalitiwari7 BJP4India INCIndia RahulGandhi MehboobaMufti
NEGATIVE,#Maharashtrawithambedkar we are always with you sir all set to show narendramodi RahulGandhi that neither we want corruption nor we want communal hatred and social injustice Lets show to all indians how a good leader can make difference by proper use of constitution
NEGATIVE,Hope siddaramaiah gets to read this thread Yes I urge again to teach this arrogant politician a lesson #LokSabhaElections2019 He lost everything lost in his home turf for his arrogant politics RahulGandhi Ji limit for this man to insult abuse opposition leaders
NEUTRAL,Isski bilkul bhi sharam nahi ki yeh kya bol raha hai kyonki yeh bilkul mandbudhee hai
NEUTRAL,Amethi ke log ush rahul gandhi ke family ke raily me jarahe jo desh ke sanskar aur desha ko bhrashtachar ki aor lekar jarahe hai aur amethi ke log bhi usake sath hai
NEGATIVE,RahulGandhi u r againamp again proving that you are an indecent arroganthalfbaked politician When did the SC given judgement on Rafale dealu tall as a drumkerd and call PM as ChorAhamed Patel said only a thief calls others httpchorBy this its clear u r thief
NEUTRAL,Choukidar chor hai Congress jindabad
NEUTRAL,Aapke sath to modi wali movie dekhunga
NEGATIVE,Notebandi is preplanned scam made by feku gang because choukidar chor hai Jai ho Congress jindabad Rahul gandhi jindabad
POSITIVE,Dear Rahul ji I in Voter of India I open discussion to your corporation book of you and your team Agsta Westland 2G3G Decan herild Olympics Z
NEUTRAL,Rahul Dravid was known as Rahul The Wall Dravid Rahul Gandhi is known as Rahul The lier Gandhi
POSITIVE,Nyaay yojana is best for poor people Jai ho Congress jindabad Rahul gandhi jindabad Choukidar chor hai
NEGATIVE,The WAR has begun #Congress versus #BJP #RahulGandhi versus #NarendraModi Battle for #Indias Citadel of Power 2019 #Election Special Coverage Everyday in our print daily #DainikGanaAdhikar httpGanaAdhikarCom Print daily Dainik Gana Adhikar
POSITIVE,What development you or ur fmly did for Amethi smritiirani is winning from Amethi amp better you take SANYAS from politics Highly uneducated pappu not fit for a peon
NEUTRAL,Choukidar chor hai Congress jindabad Rahul gandhi jindabad
NEUTRAL,Modi ki neev corruption par hi tiki hai Bade se bada jumla bhi inhi ke nam
NEGATIVE,Choukidar chor hai Choukidar is cheating people Congress jindabad Rahul gandhi jindabad
NEUTRAL,Pyare desheashiyo apna vote dene ke purv BJP ke tanashahi govt ke bare me ek Baar jarur soch lena
NEUTRAL,2016 Me BJP k Mantreon ur Santreon k Byan teh ki Ham RahulGandhi ko Ghambhita seNhi lete Tab Me ne Kha Tah ModiG Ye NehruG Ka Nwasa IndraG ka Pota ur Rajiv G Ka Beta hy Esse Pangga Mat lena Pr Nhi Mane Gujrat k kuaey Se Nikla Mehndah Bharet k Sager se Rajnite me Nhi ChalegPr Kon
NEUTRAL,You pappu never beat Modi in any debate on curruption and anyone issues
POSITIVE,Congress is totally crupt party Dont forget
NEUTRAL,Jai ho Vijay ho Congress jindabad
NEGATIVE,Arre Sir Nobody believes Rahul Gandhi how much ever he shouts He is the biggest liar
NEGATIVE,Bhai pappu RahulGandhi can you and your guys do anything sincerelyu could have hired actors for this from your looted public money and avoided this humiliation but then do u have any shame left
POSITIVE,Leader of Indian National Congress Rahul Gandhi is feeling Thora Bohat Imran Khan somewhere in India during hiz election campaign #RahulGandhiPagalHai #RafaleDeal
POSITIVE,First you clear Preliminary Round with republic
POSITIVE,Great
NEUTRAL,Jo 1977 aur 1998 me hua use dohrate hain Amethi ko ek baar fir Dynasty Mukt Banate hain RahulGandhi CastelessHindu vagishasoni narendramodi AmitShah #RahulGandhiChorHai #DynastyMuktAmethi
NEGATIVE,Bloody fool
NEGATIVE,#MuslimVoteCall All these frauds from Mullamarxistmissionery gang always vote for those who promise for barbaric Sharia rape and Halala regime so they go for Maulana RahulGandhi and Christians also do the same to conspire against India and favour Antiindia forces
POSITIVE,awake1975 Wow What guts N risk RG knows he will be shamed by Nirav Modi Choksi Mallya when return All of Dem recipients of Cong favors Of course Congis got lot in return AmitShah narendramodi to expose this guy fully before d nation RG is banking on niceness of Modi
NEUTRAL,Rahul Gandhis tryst with Amethi constituency
NEGATIVE,RahulGandhi Even AAP ArvindKejriwal has denied Alliance with INCIndia WHAT AN INSULT OF CONGRESS SHAME SHAME republic IndiaToday TimesNow BJP4India aajtak ZeeNews
NEUTRAL,RahulGandhi narendramodi
NEUTRAL,Rahul Gandhi the Gadha of India
NEUTRAL,Only modi
NEGATIVE,Imbecile if ever there was one
