id,label,tweet,tidy_tweet
36,,OfficialUrmila RahulGandhi AshokChavanINC milinddeora Received tremendous support during a rally in Kandivali East We stand together We fight together We will win together THANK YOU TO ALL Jai Hind #AapliMumbaichiMulagi,officialurmila rahulgandhi ashokchavaninc milinddeora receiv tremend support dure ralli kandivali east stand togeth fight togeth will win togeth thank you all jai hind #aaplimumbaichimulagi
37,,Result ke bad har kar dhayavad karna,result bad har kar dhayavad karna
38,,Yes,ye
39,,Do you think people of India are fool when people like you and looters congis couldnt do anything to harm the image of Modi tried underhand deal with Imaran No one in the world believe Pakistani but corrupt like you and congis always have a very good tuning Whats the deal,you think peopl india are fool when peopl like you and looter congi couldnt anyth harm the imag modi tri underhand deal with imaran one the world believ pakistani but corrupt like you and congi alway have veri good tune what the deal
40,,Are you sure Dont joke bro,are you sure dont joke bro
41,,Which affection you are talking about Every one requesting to the indian public to do not make another modi #ModiNeverAgain #ModiFailed RahulGandhi #RahulForBehtarBharat,which affect you are talk about everi one request the indian public not make anoth modi #modineveragain #modifail rahulgandhi #rahulforbehtarbharat
42,,Yea bro exaclty for better India vote for modiji,yea bro exaclti for better india vote for modiji
43,,Look how much scared Pappu Chor RahulGandhi is of smritiirani that he had 2 bring his corrupt scam ridden fake family with him #Amethi,look how much scare pappu chor rahulgandhi smritiirani that had bring hi corrupt scam ridden fake famili with him #amethi
44,,#PoshanAaharScam Pappu Chor RahulGandhi amp corrupt scam ridden INCIndia loot money meant 4 d poor amp pregnant women Shameless Pappu Chor how much low can u go Lies abuses amp loots #ModiOnceMore,#poshanaaharscam pappu chor rahulgandhi amp corrupt scam ridden incindia loot money meant poor amp pregnant women shameless pappu chor how much low can lie abus amp loot #modioncemor
45,,These are 21st century politicians,these are centuri politician
46,,This is just the beginning Picture toh abhi baaki hai mere dost Just wait and watch how BJP4India is getting humiliated CongressAICC,thi just the begin pictur toh abhi baaki hai mere dost just wait and watch how bjp india get humili congressaicc
47,,Sir modi ji k tim itni aarthik stiti krab hue h pucho mt Kisaan mar ra h itni buri halat hue h Gr ki situation itni krab hogi modi g k time Itni low situation aj tk nae hue sir Sir pls do something,sir modi tim itni aarthik stiti krab hue pucho kisaan mar itni buri halat hue situat itni krab hogi modi time itni low situat nae hue sir sir pl someth
48,,What is BJP leader poonammahajan doing with absconding billion dollar fraudster Niravmodi1 in UK Is she talking on Bharat vikas from the looted money narendramodi CongressAICC RahulGandhi khushsundar yasminsana11 divyaarorafd MirAliAsgar arshadsyedINC JAslamBasha,what bjp leader poonammahajan do with abscond billion dollar fraudster niravmodi she talk bharat vika from the loot money narendramodi congressaicc rahulgandhi khushsundar yasminsana divyaarorafd miraliasgar arshadsyedinc jaslambasha
49,,RahulGandhi is the true anti national #AugustaWestlandScam #BharatBoleModiModi,rahulgandhi the true anti nation #augustawestlandscam #bharatbolemodimodi
50,,I wonder what we are celebrating Rahul ji are you feeling vindicated or we are celebrating that Modi is also the same as congress Lets focus on the agenda of Jobs and fixing the country,wonder what are celebr rahul are you feel vindic are celebr that modi also the same congress let focu the agenda job and fix the countri
51,,Beware Rahul Gandhi#Jackal is on the prowl,bewar rahul gandhi#jack the prowl
52,,#AyegaTohModiHi,#ayegatohmodihi
53,,Pura duniya janta h Pakistan narendramodi ji se kitna khof me h Ysaa to nahe ki ya sare sajess INCIndia or ape ki h Ye bat pura Hindustan janta h tum jampk ke politician Hindustan klea ky manssa rakhte ho,pura duniya janta pakistan narendramodi kitna khof ysaa nahe sare sajess incindia ape bat pura hindustan janta tum jampk politician hindustan klea manssa rakht
54,,Joke accha hai aur wo dar bhi,joke accha hai aur dar bhi
55,,Can RahulGandhi debate on this,can rahulgandhi debat thi
56,,RahulGandhi ji ye video se jada ape nahe sakte,rahulgandhi video jada ape nahe sakt
57,,bhai RahulSharmaINC likh k de raha hu 320 nda yaad rakhna 23 may tak,bhai rahulsharmainc likh raha nda yaad rakhna may tak
58,,It should be a cakewalk for Rahul in Amethi yasminsana11 divyaarorafd ahanafatima786 BhavikaKapoor5 MirAliAsgar,should cakewalk for rahul amethi yasminsana divyaarorafd ahanafatima bhavikakapoor miraliasgar
59,,S,
60,,Jellianwala Bagh Massacre British Prime Minister Theresa said to smear on British history the opposition said demand a clear apology RahulGandhi narendramodi theresamay,jellianwala bagh massacr british prime minist theresa said smear british histori the opposit said demand clear apolog rahulgandhi narendramodi theresamay
61,,CJISC Your attention is drawn to Cong Pres Rahul Gandhis public addresses amp press conferences at various places in the country on 100419 stating SC has said Narender Modi paid Rs 30000 Crores to Anil Ambani amp irregularities took place in Rafael deal This is contemt of SC,cjisc your attent drawn cong pre rahul gandhi public address amp press confer variou place the countri state ha said narend modi paid crore anil ambani amp irregular took place rafael deal thi contemt
62,,It is narrated by one who is called pappoo by people,narrat one who call pappoo peopl
63,,imrahulr I think I can rest my case there,imrahulr think can rest case there
64,,Clever statement at so many levels Must be so confusing for BJP supporters on how to react to this,clever statement mani level must confus for bjp support how react thi
65,,rahulgandhi ne jo aaj jhutha iljam modiji par lgaya ki scourt me chor sidh ho gya Esase badla lene ke liye hind bhai se aagrah hai ki modiji ko vote kare,rahulgandhi aaj jhutha iljam modiji par lgaya scourt chor sidh gya esas badla lene liy hind bhai aagrah hai modiji vote kare
66,,RahulGandhi Zindabad,rahulgandhi zindabad
67,,In this clip one see calmness of RahulGandhi He is so cool #RahulForBehtarBharat,thi clip one see calm rahulgandhi cool #rahulforbehtarbharat
68,,RahulGandhi OfficeOfKNath NakulKNath VTankha sanjaysinghpa20 AjayChourasia20 abhinavhights priyankagandhi pattainc DMarskole76 digvijaya28,rahulgandhi officeofknath nakulknath vtankha sanjaysinghpa ajaychourasia abhinavhight priyankagandhi pattainc dmarskol digvijaya
69,,#AmethiMangeRahul #AmethiKaRahulGandhi For Amethi With Amethi and From Amethi RahulGandhi INCIndia,#amethimangerahul #amethikarahulgandhi for amethi with amethi and from amethi rahulgandhi incindia
70,,Rahul Gandhi Ji ko education sector pe dhiyan dena chahiye kisano Ke heet me elan achcha hai Des ka VIKASH jaruri hai or ye tab hoga jab hamar education practical roop lega log paise Ki wajah se education chhor dete hai ye bari durbhagya Ki bat hai usme mai bhi samil hu,rahul gandhi educ sector dhiyan dena chahiy kisano heet elan achcha hai de vikash jaruri hai tab hoga jab hamar educ practic roop lega log pais wajah educ chhor dete hai bari durbhagya bat hai usm mai bhi samil
71,,You are absolutely right Choukidar hi chor hai Congress jindabad,you are absolut right choukidar chor hai congress jindabad
72,,All people know that which choukidar is chor because chor choukidar is notorious in the world Jai ho Congress jindabad Rahul gandhi jindabad,all peopl know that which choukidar chor becaus chor choukidar notori the world jai congress jindabad rahul gandhi jindabad
73,,INCIndia ne khub luta 55 year me hindistuan ko but 2019 back to narendramodi ji RahulGandhi,incindia khub luta year hindistuan but back narendramodi rahulgandhi
74,,Choukidar chor hai Choukidar is cheating people Choukidar can say anything nonsense Jai ho Congress jindabad Rahul gandhi jindabad,choukidar chor hai choukidar cheat peopl choukidar can say anyth nonsens jai congress jindabad rahul gandhi jindabad
75,,does not seem so the SC will do the needful just dont understand one thing why dont reputed credible journalists ask RahulGandhi amp INCIndia how come a deal of 56000 Cr can generate an offset worth 30000 cr sometimes 1lakh cr are some media promoting idiocy,doe not seem the will the need just dont understand one thing whi dont reput credibl journalist ask rahulgandhi amp incindia how come deal can gener offset worth sometim lakh are some media promot idioci
76,,Is bheed me Amethi ka to ek bhi voter nahin yahi log baki Rallion me bhi dekhe gaye the aap ko yaad hoga Ek rally me Sonia fool phenk rahi thee to saath khada bheed se haath hila kar keh raha tha aur zor se shor machao aur yahi 4050 log har jageh saath hi jate hai highlite karne,bheed amethi bhi voter nahin yahi log baki rallion bhi dekh gay the aap yaad hoga ralli sonia fool phenk rahi thee saath khada bheed haath hila kar keh raha tha aur zor shor machao aur yahi log har jageh saath jate hai highlit karn
77,,Choukidar chor hai Choukidar is cheating people Congress jindabad Rahul gandhi jindabad,choukidar chor hai choukidar cheat peopl congress jindabad rahul gandhi jindabad
78,,Choukidar chor hai Jai ho Congress jindabad Rahul gandhi jindabad,choukidar chor hai jai congress jindabad rahul gandhi jindabad
79,,Yes I agree with you You are absolutely right sir Congress jindabad Rahul gandhi jindabad,ye agre with you you are absolut right sir congress jindabad rahul gandhi jindabad
80,,I dont agree with U that the election is in between narendramodi and RahulGandhi It is in between #Development and #MGB,dont agre with that the elect between narendramodi and rahulgandhi between #develop and #mgb
81,,Choukidar hi chor hai Choukidar gang wants to cheat people Jai ho Congress jindabad Rahul gandhi jindabad,choukidar chor hai choukidar gang want cheat peopl jai congress jindabad rahul gandhi jindabad
82,,Kid bail people hai Kya samvaad karogi,kid bail peopl hai kya samvaad karogi
83,,Choukidar chor hai Choukidar is cheating people Choukidar gang are selfcentered and shameless Jai ho Congress jindabad Rahul gandhi jindabad,choukidar chor hai choukidar cheat peopl choukidar gang are selfcent and shameless jai congress jindabad rahul gandhi jindabad
84,,Pappu leave our great PMWe know that in front of him you are nothingI Being a citizen challenge you forget PM modi you first debate with me for 10 mins onlyIf you winIe you are able to answer my questionsWe will take you as our next PM otherwise you forget politics,pappu leav our great pmwe know that front him you are nothingi be citizen challeng you forget modi you first debat with for min onlyif you wini you are abl answer questionsw will take you our next otherwis you forget polit
85,,Imran khan aur Modi hi bata sakte haen kya sach hai abhisarsharma bainjal IndiaToday RahulGandhi,imran khan aur modi bata sakt haen kya sach hai abhisarsharma bainjal indiatoday rahulgandhi
86,,This is the new beginning Prakash sir just wanted to call out that aimin twitterhandle is aimimnational the other one points to some Chinese handleprofile,thi the new begin prakash sir just want call out that aimin twitterhandl aimimn the other one point some chines handleprofil
87,,Sir we just wants you to follow the rules and use your athourity no matter whom it effects your todays decesions we all appericiate action on speech should also be taken abhisarsharma bainjal IndiaToday RahulGandhi,sir just want you follow the rule and use your athour matter whom effect your today deces all apperici action speech should also taken abhisarsharma bainjal indiatoday rahulgandhi
88,,What a question RahulGandhi,what question rahulgandhi
89,,Sure i am,sure
90,,narendramodi Simple but strong INCIndia RahulGandhi baat ko samjhaiye,narendramodi simpl but strong incindia rahulgandhi baat samjhaiy
91,,SpokespersonECI ECISVEEP banned biopic on narendramodi and NamoTv then why TataSky group owned by RNTata2000 is still showing It can PMOIndia PMOIndiaLIVE sardesairajdeep ppbajpai INCIndia RahulGandhi ravishndtv ndtv timesofindia TimesNow BJP4India do something,spokespersoneci ecisveep ban biopic narendramodi and namotv then whi tataski group own rntata still show can pmoindia pmoindial sardesairajdeep ppbajpai incindia rahulgandhi ravishndtv ndtv timesofindia timesnow bjp india someth
92,,We already have that with #AyushyamanBharat so keep your false promises with you and your pidis Mr pappu #ModiOnceMore,alreadi have that with #ayushyamanbharat keep your fals promis with you and your pidi pappu #modioncemor
93,,Do you have the answer INCIndia RahulGandhi rssurjewala,you have the answer incindia rahulgandhi rssurjewala
94,,Thanks For CONGRESS PARTY AND RAHULJI,thank for congress parti and rahulji
95,,Please show and share the video coverage of Mayawati Rally asking MUSALMAAN to vote for SPBSP Gathbandhan Do not misguide us by such video See the Video of Kerala visit of Rahul Gandhi with ALI Green Virus if you want to share the Truth BajrangBali remarks is answer to ALI,pleas show and share the video coverag mayawati ralli ask musalmaan vote for spbsp gathbandhan not misguid such video see the video kerala visit rahul gandhi with ali green viru you want share the truth bajrangbali remark answer ali
96,,Teen states me jahan congress ki sarkar hai Wahan per petrol Diesel Rs 10ltr kum kar diya jaye to congress ko kafi lok sabha seats milengi Aur rajusv ko nuksan bhi Jyada nahi hoga ek bar gour jaroor Kare Jai congress and Rahul Gandhi G,teen state jahan congress sarkar hai wahan per petrol diesel ltr kum kar diya jay congress kafi lok sabha seat milengi aur rajusv nuksan bhi jyada nahi hoga bar gour jaroor kare jai congress and rahul gandhi
97,,Congress Aala kaman ka Farman Koi bhi congress leader ya karykarta bina Nasha kiye Dafter na aayen Kiuki Hamare Precident Manniye RAHUL GANDHI 24 ghante Nashe me rahte Hain,congress aala kaman farman koi bhi congress leader karykarta bina nasha kiy dafter aayen kiuki hamar precid manniy rahul gandhi ghant nash raht hain
98,,The new spokesperson for Rahul Gandhi,the new spokesperson for rahul gandhi
99,,It is my humble request that please do not nominate Rahul Gandhi as PM for more five year otherwise congress party will end you project old and experienced one most of the people agree with congress but dont agree with Rahul G being Unmatured,humbl request that pleas not nomin rahul gandhi for more five year otherwis congress parti will end you project old and experienc one most the peopl agre with congress but dont agre with rahul be unmatur
100,,Sala jo khud corruption me bail par ho uske challenge ko sun ke hasi hi ayegi na Khandan Puri bail pe or debate challenge,sala khud corrupt bail par usk challeng sun hasi ayegi khandan puri bail debat challeng
101,,Abe Gadhe tumne Apne fake news Ko Satyahindi kyu bola be SC ne koi faisla nhi Liya h review petition accept Kiya h,abe gadh tumn apn fake news satyahindi kyu bola koi faisla nhi liya review petit accept kiya
102,,Todays door to door campaign in Jugijan Block Hojai Assembly for Nagaon Loksabha Election pradyutbordoloi Allavaru RahulGandhi,today door door campaign jugijan block hojai assembl for nagaon loksabha elect pradyutbordoloi allavaru rahulgandhi
103,,Congress Party Zindabad Priyanka Gandhi Zindabad Rahul Gandhi Zindabad Full support Om Sai Choudhary Jodhpur,congress parti zindabad priyanka gandhi zindabad rahul gandhi zindabad full support sai choudhari jodhpur
104,,Pyar hamara tumhara abhisarsharma RahulGandhi,pyar hamara tumhara abhisarsharma rahulgandhi
105,,Rahul Gandhi ji ne MP me aloo se sona banane wali machine Kha rakhi hai bhai paise ki jarurat thodi jada hai is time,rahul gandhi aloo sona banan wali machin kha rakhi hai bhai pais jarurat thodi jada hai time
106,,Reply Mr RahulGandhi,repli rahulgandhi
107,,RahulGandhi ajaishukla,rahulgandhi ajaishukla
108,,Midi ji se puchho,midi puchho
109,,Enki Atm band ho rahyi hi ji modiji hi to mumkin hi ji Jai SRI Ram Jai hind Jai Bharat Jai Main bhi chowkidar,enki atm band rahyi modiji mumkin jai sri ram jai hind jai bharat jai main bhi chowkidar
110,,Rahul Gandhi FEM sab Chor hai why dont you clarify the source of 281 Crores and whose money is this Come on Butler say something,rahul gandhi fem sab chor hai whi dont you clarifi the sourc crore and whose money thi come butler say someth
111,,RahulGandhi Congress Zindabat,rahulgandhi congress zindabat
112,,Dhikar hai aise bhai aur bahan par,dhikar hai ais bhai aur bahan par
113,,Rahul gandhi jindabad,rahul gandhi jindabad
114,,#Amethi RahulGandhi INCIndiaLive priyankac19 smritiirani BJPLive sambitswaraj SudhanshuTrived Swamy39 is it seriously true PC maam could you please enlighten us as you are very eager to know edu Qual of former HRD minister Do you even know RGs EduQual,#amethi rahulgandhi incindial priyankac smritiirani bjplive sambitswaraj sudhanshutriv swami serious true maam could you pleas enlighten you are veri eager know edu qual former hrd minist you even know rg eduqu
115,,Not a single chowkidar has come forward so far to criticize narendramodi and the lovelink between ImranKhanPTI Imagine your twitter walls with tweets from chowkidars if the same statement would have come from Kaptaan for RahulGandhi La hawle was kout UbbaidM,not singl chowkidar ha come forward far critic narendramodi and the lovelink between imrankhanpti imagin your twitter wall with tweet from chowkidar the same statement would have come from kaptaan for rahulgandhi hawl wa kout ubbaidm
116,,Dynasty GeNext Arrived Cong Bhakto BEWARE U ALL WILL BE GHULAMs for life Roti ka tukda fenk dega Gandhi pariwar RahulGandhi INCIndia,dynasti genext arriv cong bhakto bewar all will ghulam for life roti tukda fenk dega gandhi pariwar rahulgandhi incindia
117,,Could think of this for one second but cant imagine Pappu being our prime minister FOR GODS SAKE RahulGandhi,could think thi for one second but cant imagin pappu be our prime minist for god sake rahulgandhi
118,,INCIndia IYC captamarinder sunilkjakhar sekhriashwani TRSBajwa sherryontopp INCSandesh RTMediaAdvPbCM RahulGandhi ZeePunjab,incindia iyc captamarind sunilkjakhar sekhriashwani trsbajwa sherryontopp incsandesh rtmediaadvpbcm rahulgandhi zeepunjab
119,,Sahi hi ji sahi kha hiaapni ji logo ko khud samajna chahiyi ji Rahul Gandhi dongi hi mmta tsp sp bsp Aap party sab chorhi dash ko bdnamkrni ka kam krtyi hi ji modiji dash ko garibi mukt Bharat hoga ji Jai SRI Ram Jai hind Jai Bharat vandyimatrm Main bhi chowkidar,sahi sahi kha hiaapni logo khud samajna chahiyi rahul gandhi dongi mmta tsp bsp aap parti sab chorhi dash bdnamkrni kam krtyi modiji dash garibi mukt bharat hoga jai sri ram jai hind jai bharat vandyimatrm main bhi chowkidar
120,,Where is JMScindia,where jmscindia
121,,Is this the kind of #NYAY you plan to deliver 1 Snatching food from Kids stomach 2 Exploiting the malnourished kids 3 Stealing money meant for pregnant women and use it for political gains INCIndia RahulGandhi rssurjewala ahmedpatel priyankagandhi #SoniaGandhi,thi the kind #nyay you plan deliv snatch food from kid stomach exploit the malnourish kid steal money meant for pregnant women and use for polit gain incindia rahulgandhi rssurjewala ahmedpatel priyankagandhi #soniagandhi
122,,Recd on WAThis is INCIndia under RahulGandhi See congressmen shouting Narendra Modi Zindabad during canvassingA sure sign of #CongressMuktBharat Mehul8997 drmahendra6 vrnmavinkurve HarshalChaubal,recd wathi incindia under rahulgandhi see congressmen shout narendra modi zindabad dure canvassinga sure sign #congressmuktbharat mehul drmahendra vrnmavinkurv harshalchaub
123,,Priyankajee aap sub congression se puchhna aur Janna chahta hu ki aap log Rahul Gandhi jsise mund budhi jhuthe aur Nasheri Insan ko jhelti kaise hain Kya Soniyjee aaplogon ko Koi tablet khilati Hain ya Koi Divya sirup ka dose deti Hain,priyankaje aap sub congress puchhna aur janna chahta aap log rahul gandhi jsise mund budhi jhuth aur nasheri insan jhelti kais hain kya soniyje aaplogon koi tablet khilati hain koi divya sirup dose deti hain
124,,Rahul Gandhi Bail Par Maidam Bail Par Bail Par Pura Khandan Chore,rahul gandhi bail par maidam bail par bail par pura khandan chore
125,,#indiancorporates amp #mnc given the green signal to #congress #rahulgandhi #nyay nation required a #relief not #headache #hamarachokidarchornikla #modiuncle #RafaleScam #RafaleFilesStolen #hamaribhoolkamalkaphool #DemonetisationScam #gst #lpg #cylinders #fuelpricehike,#indiancorpor amp #mnc given the green signal #congress #rahulgandhi #nyay nation requir #relief not #headach #hamarachokidarchornikla #modiuncl #rafalescam #rafalefilesstolen #hamaribhoolkamalkaphool #demonetisationscam #gst #lpg #cylind #fuelpricehik
126,,Jo Bail Par Hai Choro Se Shaukar Miltey Nhee Hai Gali Gali Me Sore Hai Congress Party Evam Pura Khandan Chore Hai,bail par hai choro shaukar miltey nhee hai gali gali sore hai congress parti evam pura khandan chore hai
127,,A very mature and bold decision of Rahul Gandhi Ji it will be beneficial for the party in near future,veri matur and bold decis rahul gandhi will benefici for the parti near futur
128,,Mama nahi tho bahgna pm ban hi jayega,mama nahi tho bahgna ban jayega
129,,Youths and also oldmen are coming home back from 200 km distance only for Voting and supporting to Modi and for opposing of corrupt Rahul Gandhi,youth and also oldmen are come home back from distanc onli for vote and support modi and for oppos corrupt rahul gandhi
130,,RahulGandhi sir NamaskarThis day is a auspicious for httpusToday you filling the nomination for Amethi May God bless you,rahulgandhi sir namaskarthi day auspici for httpustoday you fill the nomin for amethi may god bless you
131,,Vote to rahul Gandhi ko hi jayega Choro ko vote dekar dekh liya bar bar wahi galati dohrana buri baat Bjp ke mudde saaf hai sirf chunav jeetna aur garibo ka haq marna #RahulForBehtarBharat #ModiNeverAgain #ModiFailed Aaj bjp modi ki halat kuch aisi hai,vote rahul gandhi jayega choro vote dekar dekh liya bar bar wahi galati dohrana buri baat bjp mudd saaf hai sirf chunav jeetna aur garibo haq marna #rahulforbehtarbharat #modineveragain #modifail aaj bjp modi halat kuch aisi hai
